,INTPTLAT10,INTPTLON10
243,36.0892596,-80.2249598
244,36.0207083,-80.2798166
245,41.4603686,-83.3645499
246,41.672655,-84.461796
247,41.5345544,-84.2937871
248,41.6957726,-83.8367491
249,41.5239457,-84.7312635
250,41.4662106,-84.5571335
251,41.2625594,-83.8147261
252,41.3033782,-84.3582793
253,41.5842148,-84.0106149
254,41.2149032,-83.9152423
255,41.4339468,-84.7285498
256,41.5964884,-84.7577482
257,41.4193593,-84.4070701
258,41.6604894,-84.2979938
259,41.42031,-83.832402
260,41.3370649,-83.9892543
261,41.2271217,-84.0384436
262,41.4665824,-83.7044501
263,41.3128056,-84.7253089
264,41.2461091,-84.1575024
265,41.6288552,-83.7495751
266,44.4553413,-118.2222341
267,45.6556568,-117.51175
268,45.8023079,-118.2724104
269,43.6214451,-117.1072752
270,44.2468051,-117.6469773
271,43.8861787,-118.5229286
272,44.57382,-117.4595124
273,43.5370386,-117.7746785
274,44.4195014,-117.345514
275,44.3123779,-117.9278861
276,44.2465125,-117.4189859
277,43.7364817,-118.0413879
278,44.1136188,-117.0841615
279,44.0371142,-117.3510723
280,44.0721806,-117.8542824
281,34.2428242,-94.3327689
282,35.5179676,-97.5287181
283,34.4851525,-94.339565
284,35.422007,-97.5661255
285,34.6990852,-93.2207979
286,34.2565183,-93.7178363
287,34.2765131,-93.8214354
288,35.5813161,-97.5736742
289,35.5205166,-97.4395273
290,35.520484,-97.6134401
291,35.4774218,-97.6531944
292,35.4584819,-97.6623814
293,35.4314777,-97.4842815
294,34.6080155,-94.197193
295,35.4586326,-97.345632
296,35.5764578,-97.469294
297,34.5986356,-93.1534376
298,35.5534001,-97.6333255
299,35.614168,-97.5684471
300,34.5650238,-93.5747012
301,35.4002683,-97.4330755
302,35.3863767,-97.5256886
303,34.1233523,-93.6646132
304,35.5199621,-97.3944746
305,34.2431655,-93.9315844
306,35.6165977,-97.6453212
307,37.8045315,-122.410852
308,37.721053,-122.413573
309,37.7681061,-122.3869269
310,37.444131,-122.1499165
311,37.4578826,-122.1150968
312,37.3747017,-122.1816956
313,37.4182561,-122.1708709
314,37.4157295,-122.1307644
315,37.5769477,-122.3169034
316,37.523602,-122.3449203
317,37.5384494,-122.305447
318,37.5559985,-122.2676793
319,37.773793,-122.2781151
320,37.7375722,-122.2455071
321,38.1863204,-122.2636108
322,37.8716803,-121.597066
323,37.8096767,-121.9131406
324,37.8504099,-122.0211231
325,37.2407268,-87.4646023
326,43.3741008,-84.6776078
327,37.3626476,-87.6685288
328,30.4217495,-88.5230818
329,43.1868911,-84.500161
330,37.1671029,-87.4883932
331,43.1504763,-84.4020062
332,42.8288357,-84.4447756
333,43.0752987,-85.2579615
334,37.1333391,-87.8517396
335,30.4047703,-88.7712286
336,43.1814983,-84.8537354
337,37.3958701,-87.7634021
338,30.5870947,-88.7444625
339,37.8845326,-87.3907071
340,37.6865115,-87.5316717
341,37.157856,-87.5907124
342,30.3654461,-88.5401151
343,42.5797748,-84.8458912
344,37.5933753,-87.542551
345,42.8343711,-85.2585846
346,42.765009,-83.9559809
347,37.5077055,-87.4960966
348,37.8395629,-87.4209423
349,43.0139493,-84.0428844
350,43.2746033,-84.8851123
351,37.5668063,-88.0190479
352,38.6352119,-121.5186075
353,38.6706486,-121.5259826
354,38.693765,-121.5989406
355,38.6457235,-121.4452544
356,38.6603703,-121.3473936
357,38.6868098,-121.3491442
358,38.7154634,-121.3634219
359,38.5840466,-121.3758456
360,39.2239387,-121.4940499
361,39.1060986,-121.3681796
362,39.4911263,-120.8172323
363,39.0167022,-122.0621433
364,39.4490043,-121.3305213
365,40.0062561,-121.1588944
366,35.1002851,-85.2603629
367,35.2775203,-86.3530268
368,28.5455315,-82.0805317
369,35.1150099,-84.9890965
370,27.6934231,-82.2846591
371,35.5063288,-84.3473845
372,27.9535304,-82.4571128
373,27.9856178,-82.4644389
374,35.4997867,-86.0838331
375,28.0171543,-82.4553503
376,35.2288775,-85.823694
377,35.5852879,-85.91734
378,35.2042001,-86.4128769
379,35.4375961,-86.2543385
380,35.1014711,-84.6866446
381,42.9740511,-90.3436064
382,40.238677,-88.6653946
383,43.0513571,-89.1922572
384,40.3172413,-88.3739027
385,43.1183001,-89.6380136
386,43.242558,-89.5146905
387,40.1429666,-87.8692075
388,40.3736206,-88.3968137
389,42.6938288,-90.1058903
390,39.9772517,-87.6075376
391,43.0622164,-89.1023929
392,40.3193021,-88.0112425
393,40.3080604,-87.7027714
394,40.0142263,-87.9673702
395,39.9310081,-87.7385813
396,39.9608195,-88.4347235
397,43.2502038,-89.3263292
398,39.9031522,-88.0757988
399,40.2149558,-88.421171
400,42.9967368,-90.1621789
401,40.1998724,-88.5293281
402,39.9221387,-88.660929
403,42.8608232,-89.0933096
404,40.0267619,-88.5801176
405,40.1165537,-87.8422799
406,42.7612331,-89.2678618
407,41.5963048,-70.5674667
408,41.7284214,-70.4358105
409,41.7773631,-70.6422276
410,41.377655,-70.52208
411,41.5738806,-70.632049
412,41.7078392,-70.5455195
413,41.478974,-70.766911
414,41.7125265,-70.6207473
415,41.2910715,-70.0933285
416,41.6394454,-70.6245149
417,41.441713,-70.576143
418,41.745017,-70.653513
419,41.6902429,-70.6162831
420,41.7667368,-70.540595
421,41.7872087,-70.5267169
422,41.7281369,-70.4765487
423,41.2719344,-69.9844153
424,32.6432116,-96.916468
425,32.6465729,-95.6875313
426,32.6373325,-96.6976088
427,32.5681628,-96.2502144
428,32.3666864,-96.2450394
429,32.1083877,-96.2079546
430,32.564518,-96.7522227
431,32.4366759,-96.0795577
432,32.1262213,-96.0241305
433,32.7733689,-96.6188105
434,32.8173991,-96.6304156
435,32.439871,-96.6780508
436,32.1582646,-96.3296323
437,32.5217727,-96.8073149
438,32.2291128,-96.4755085
439,32.2777586,-96.1053322
440,32.464756,-96.4395197
441,30.5511949,-89.9190077
442,32.4628311,-96.4021313
443,30.8562587,-90.5239299
444,39.6706285,-105.8343433
445,40.486391,-106.8293537
446,40.0290015,-105.8528131
447,30.5687142,-90.5007611
448,40.0359116,-106.8144972
449,32.6045429,-96.5435378
450,30.4070384,-90.0634214
451,40.6728876,-106.3415656
452,40.1014108,-105.5767641
453,32.758408,-96.3013232
454,39.8923412,-105.785971
455,40.0917979,-106.9359802
456,30.2418323,-91.9910394
457,36.9575817,-88.2632028
